member,k_spon,louv,vote_cluster,kmode_cluster,k_meta_cluster,proper_name,normalized_name,finance_cluster,pc,demo_cluster,district
rita c. joseph,0,0,0,0,1,Rita C. Joseph,Rita C Joseph,3,2,4,40
julie menin,0,1,0,2,0,Julie Menin,Julie Menin,0,1,3,5
kristin richardson jordan,0,0,2,3,4,Kristin Richardson Jordan,Kristin R Jordan,3,2,0,9
sandra ung,0,2,0,2,2,Sandra Ung,Sandra Ung,0,0,2,20
eric dinowitz,0,1,0,2,0,Eric Dinowitz,Eric Dinowitz,4,1,0,11
diana i. ayala,0,2,0,2,2,Diana I. Ayala,Diana I Ayala,2,1,0,8
justin l. brannan,0,1,0,2,0,Justin L. Brannan,Justin Brannan,4,1,1,43
selvena n. brooks-powers,0,1,0,2,0,Selvena N. Brooks-Powers,Selvena Brooks-Powers,2,1,4,31
christopher marte,0,0,0,0,1,Christopher Marte,Christopher Marte,0,2,3,1
nantasha m. williams,0,2,0,2,2,Nantasha M. Williams,Nantasha Williams,3,2,4,27
mercedes narcisse,0,2,0,2,2,Mercedes Narcisse,Mercedes Narcisse,0,1,4,46
carmen n. de la rosa,0,0,0,0,1,Carmen N. De La Rosa,Carmen De La Rosa,0,2,0,10
carlina rivera,0,0,0,0,1,Carlina Rivera ,Carlina Rivera,0,2,3,2
shekar krishnan,0,0,0,0,1,Shekar Krishnan,Shekar Krishnan,0,2,2,25
marjorie velázquez,0,2,0,2,2,Marjorie Velázquez,Marjorie Velazquez,0,1,1,13
althea v.  stevens,0,1,0,2,0,Althea V.  Stevens,Althea V Stevens,2,2,0,16
lynn c. schulman,0,2,0,2,2,Lynn C. Schulman,Lynn Schulman,0,1,2,29
chi a. ossé,0,0,2,3,4,Chi A. Ossé,Chi Osse,3,2,0,36
james f. gennaro,0,1,0,2,0,James F. Gennaro,James F Gennaro,4,0,2,24
pierina ana sanchez,1,2,0,0,2,Pierina Ana Sanchez,Pierina A Sanchez,3,2,0,14
tiffany cabán,1,0,2,3,4,Tiffany Cabán,Tiffany Caban,3,2,2,22
julie won,1,0,0,0,1,Julie Won,Julie Won,3,2,2,26
gale a. brewer,1,0,0,0,1,Gale A. Brewer,Gale Brewer,0,1,3,6
sandy nurse,1,0,2,3,4,Sandy Nurse,Sandy Nurse,3,2,0,37
crystal hudson,1,0,0,0,1,Crystal Hudson,Crystal Hudson,3,2,3,35
shaun abreu,1,0,0,0,1,Shaun Abreu,Shaun Abreu,0,1,0,7
amanda farías,1,0,0,0,1,Amanda Farías,Amanda Farias,3,2,0,18
alexa avilés,1,0,2,3,4,Alexa Avilés,Alexa Aviles,3,2,2,38
jennifer gutiérrez,1,0,2,3,4,Jennifer Gutiérrez,Jennifer Gutierrez,2,2,0,34
oswald feliz,2,1,0,4,0,Oswald Feliz,Oswald Feliz,4,0,0,15
"rafael salamanca, jr.",2,1,0,4,0,"Rafael Salamanca, Jr.",Rafael Salamanca,1,0,0,17
linda lee,2,2,0,4,2,Linda Lee,Linda Lee,0,0,2,23
adrienne e. adams,2,0,0,0,1,Adrienne E. Adams,Adrienne Adams,2,2,4,28
keith powers,2,1,0,4,0,Keith Powers ,Keith Powers,2,1,3,4
kamillah hanks,2,1,0,4,0,Kamillah Hanks,Kamillah M Hanks,4,0,1,49
ari kagan,2,1,1,1,3,Ari Kagan,Ari Kagan,4,0,2,47
charles barron,2,1,2,4,0,Charles Barron,Charles Barron,4,2,4,42
darlene mealy,2,2,0,4,2,Darlene Mealy,Darlene Mealy,0,1,4,41
francisco p. moya,2,1,0,4,0,Francisco P. Moya,Francisco P Moya,2,0,2,21
erik d. bottcher,2,2,0,4,2,Erik D. Bottcher,Erik Bottcher,0,1,3,3
kevin c. riley,3,2,0,0,2,Kevin C. Riley,Kevin C Riley,2,1,4,12
shahana k. hanif,3,0,2,3,4,Shahana K. Hanif,Shahana Hanif,0,2,3,39
farah n. louis,3,1,0,2,0,Farah N. Louis,Farah Louis,0,1,4,45
lincoln restler,3,0,2,3,4,Lincoln Restler,Lincoln Restler,0,2,3,33
david m. carr,4,1,1,1,3,David M. Carr,David M Carr,0,0,1,50
inna vernikov,4,1,1,1,3,Inna Vernikov,Inna Vernikov,0,0,2,48
joann ariola,4,1,1,1,3,Joann Ariola ,Joann Ariola,4,0,1,32
joseph c. borelli,4,1,1,1,3,Joseph C. Borelli,Joseph Borelli,4,0,1,51
vickie paladino,4,1,1,1,3,Vickie Paladino,Vickie Paladino,0,0,2,19
kalman yeger,5,1,1,1,3,Kalman Yeger ,Kalman Yeger,0,0,2,44
robert f. holden,5,1,1,1,3,Robert F. Holden,Robert F Holden,4,0,1,30
